Banner,Category,Web address,QR code image
BPUSFOODTEAM,Home,https://ORG-NAME.github.io/bpusfoodteam/,qr-codes/home.png
Thorntons,Banner home,https://ORG-NAME.github.io/bpusfoodteam/thorntons/,qr-codes/thorntons.png
Thorntons,Hot Dispensed,https://ORG-NAME.github.io/bpusfoodteam/thorntons/hot-dispensed/,qr-codes/thorntons-hot-dispensed.png
Thorntons,Frozen Dispensed,https://ORG-NAME.github.io/bpusfoodteam/thorntons/frozen-dispensed/,qr-codes/thorntons-frozen-dispensed.png
Thorntons,Cold Dispensed,https://ORG-NAME.github.io/bpusfoodteam/thorntons/cold-dispensed/,qr-codes/thorntons-cold-dispensed.png
Thorntons,Bakery,https://ORG-NAME.github.io/bpusfoodteam/thorntons/bakery/,qr-codes/thorntons-bakery.png
Thorntons,Roller Grill,https://ORG-NAME.github.io/bpusfoodteam/thorntons/roller-grill/,qr-codes/thorntons-roller-grill.png
Thorntons,Hot Food,https://ORG-NAME.github.io/bpusfoodteam/thorntons/hot-food/,qr-codes/thorntons-hot-food.png
ampm,Banner home,https://ORG-NAME.github.io/bpusfoodteam/ampm/,qr-codes/ampm.png
ampm,Hot Dispensed,https://ORG-NAME.github.io/bpusfoodteam/ampm/hot-dispensed/,qr-codes/ampm-hot-dispensed.png
ampm,Frozen Dispensed,https://ORG-NAME.github.io/bpusfoodteam/ampm/frozen-dispensed/,qr-codes/ampm-frozen-dispensed.png
ampm,Cold Dispensed,https://ORG-NAME.github.io/bpusfoodteam/ampm/cold-dispensed/,qr-codes/ampm-cold-dispensed.png
ampm,Bakery,https://ORG-NAME.github.io/bpusfoodteam/ampm/bakery/,qr-codes/ampm-bakery.png
ampm,Roller Grill,https://ORG-NAME.github.io/bpusfoodteam/ampm/roller-grill/,qr-codes/ampm-roller-grill.png
ampm,Hot Food,https://ORG-NAME.github.io/bpusfoodteam/ampm/hot-food/,qr-codes/ampm-hot-food.png
TA,Banner home,https://ORG-NAME.github.io/bpusfoodteam/ta/,qr-codes/ta.png
TA,Hot Dispensed,https://ORG-NAME.github.io/bpusfoodteam/ta/hot-dispensed/,qr-codes/ta-hot-dispensed.png
TA,Frozen Dispensed,https://ORG-NAME.github.io/bpusfoodteam/ta/frozen-dispensed/,qr-codes/ta-frozen-dispensed.png
TA,Cold Dispensed,https://ORG-NAME.github.io/bpusfoodteam/ta/cold-dispensed/,qr-codes/ta-cold-dispensed.png
TA,Bakery,https://ORG-NAME.github.io/bpusfoodteam/ta/bakery/,qr-codes/ta-bakery.png
TA,Roller Grill,https://ORG-NAME.github.io/bpusfoodteam/ta/roller-grill/,qr-codes/ta-roller-grill.png
TA,Hot Food,https://ORG-NAME.github.io/bpusfoodteam/ta/hot-food/,qr-codes/ta-hot-food.png
